Model_Name,ROUGE_rouge1,ROUGE_rouge2,ROUGE_rougeL,ROUGE_rougeLsum,BERTScore_F1,Exact_Match,Accuracy,Inference_Time(s),Model_Size(GB),Peak_GPU_Memory(GB)
Qwen_Qwen3-4B-Instruct-2507,0.20125,0.0,0.20125,0.20125,0.9642489135265352,0.20125,0.20125,1556.95,7.49,8.5
Qwen_Qwen3-1.7B,0.20125,0.0,0.20125,0.20125,0.9642489135265352,0.20125,0.20125,649.38,3.2,8.5
Qwen_Qwen2.5-1.5B-Instruct,0.20125,0.0,0.20125,0.20125,0.964249,0.20125,0.20125,1385.75,1.66,2.14
Qwen_Qwen2.5-7B-Instruct,0.20125,0.0,0.20125,0.20125,0.964249,0.20125,0.20125,2779.2,8.11,7.46
openai-community_gpt2-medium,0.2,0.0,0.20125,0.20125,0.9642489135265352,0.20125,0.20125,172.21,0.66,1.69
openai-community_gpt2-xl,0.2,0.0,0.20125,0.20125,0.9642489135265352,0.20125,0.20125,885.79,2.9,4.95
meta-llama_Llama-3.2-1B-Instruct,0.2025,0.0,0.20125,0.20125,0.9642489135265352,0.20125,0.20125,100.67,2.3,3.31
meta-llama_Llama-2-7b-hf,0.2025,0.0,0.20125,0.20125,0.9642489135265352,0.20125,0.20125,2610.17,6.52,5.9
